uid,Type,Producers,Studios,Source,Themes,Demographic,Duration,Favorites,Streaming Platforms
38906,Music,['add some'],['add some'],Other,[],,2 min.,0,[]
2369,TV,"['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'NTT Docomo']",['Zexcs'],Light novel,"['Harem', 'Super Power']",,24 min. per ep.,109,[]
5440,TV,"['Studio Take Off', 'Nagoya Broadcasting Network', 'Tokyu Agency']",['Sunrise'],Original,[],,24 min. per ep.,9,[]
1569,TV,"['Starchild Records', 'Dream Force', 'GANSIS']",['feel.'],Visual novel,"['Crossdressing', 'School']",,24 min. per ep.,175,[]
40100,ONA,['miHoYoAnime'],"['Blade', 'Thundray']",Game,[],,5 min. per ep.,64,[]
3685,Music,['add some'],['Studio 4°C'],Original,[],,4 min.,1,[]
1135,OVA,['Animation Do'],['Kyoto Animation'],Original,[],,1 hr.,14,[]
2298,Special,['add some'],['Sunrise'],Original,[],,5 min.,7,[]
1766,OVA,"['Konami', 'Kadokawa Shoten']",['J.C.Staff'],Light novel,[],,45 min.,2,[]
31698,TV,['Alpha Group Co. Ltd.'],['add some'],Unknown,[],Kids,24 min. per ep.,4,[]
33908,Music,"[""Toy's Factory""]",['add some'],Original,[],,3 min.,0,[]
1176,OVA,['add some'],['KSS'],Original,[],,36 min. per ep.,0,[]
21869,OVA,['Bandai Visual'],['add some'],Unknown,[],,17 min.,0,[]
26011,Special,['add some'],['RG Animation Studios'],Original,[],Kids,7 min.,0,[]
5662,Movie,['The National Film Center Japan'],['add some'],Original,[],,20 min.,1,[]
2731,OVA,['add some'],['Sunrise'],Original,"['Mecha', 'Parody']",,30 min. per ep.,0,[]
9536,ONA,"['Sony Music Entertainment', 'PansonWorks']",['add some'],Unknown,[],Kids,6 min. per ep.,0,[]
38954,TV Special,['add some'],['Gathering'],Manga,[],Josei,3 min. per ep.,0,[]
21641,ONA,"['Lantis', 'Infinite']",['P.A. Works'],Other,[],,1 min.,1,[]
3259,TV,['Pony Canyon'],['AIC'],Unknown,[],,3 min. per ep.,1,[]
28237,Special,['add some'],['Madhouse'],Game,[],Kids,21 min.,0,[]
1740,TV,"['TV Asahi', 'Universal Pictures Japan']",['Trans Arts'],Manga,[],Seinen,24 min. per ep.,3,[]
26279,OVA,['Gakken'],['add some'],Unknown,[],,11 min.,0,[]
3462,OVA,"['Starchild Records', 'Yomiko Advertising']",['Asahi Production'],Original,[],,38 min.,12,[]
521,TV,"['TV Aichi', 'Tokyu Agency', ""We've Inc.""]","['Actas', 'Synergy Japan']",Manga,"['Mahou Shoujo', 'Music']",Shoujo,24 min. per ep.,936,[]
24073,Movie,['Strawberry Meets Pictures'],['add some'],Original,[],,14 min.,0,[]
1058,OVA,['Pony Canyon'],"['Trinet Entertainment', 'Picture Magic']",Game,[],,25 min. per ep.,1,[]
1138,TV,"['TV Tokyo', 'Nihon Ad Systems', 'Nelvana']",['Bee Train'],Game,[],,24 min. per ep.,292,[]
32928,Music,['add some'],['add some'],Music,[],,3 min.,0,[]
7561,TV,['Kadokawa Pictures Japan'],['Stingray'],4-koma manga,[],,3 min. per ep.,0,['Crunchyroll']
35776,OVA,['Square Enix'],['add some'],Game,[],,1 hr. 2 min.,23,[]
40338,ONA,['Kaibutsu'],"['TYMOTE', 'Spoon']",Original,[],,1 min.,2,[]
32665,ONA,['add some'],['Rabbit Machine'],Original,[],,12 min.,0,[]
8355,Movie,['add some'],['DLE'],Original,"['Parody', 'Super Power']",,1 hr. 13 min.,0,[]
35202,Special,['add some'],['GoHands'],Original,[],,23 min.,5,[]
25943,ONA,['add some'],['Trigger'],Other,[],,1 min. per ep.,5,[]
2132,Movie,['ASCII Media Works'],['Seven Arcs'],Light novel,[],,26 min.,7,['Crunchyroll']
33457,Special,['add some'],['Team YokkyuFuman'],Game,"['Parody', 'School']",,3 min.,3,[]
2799,TV,['TV Asahi'],['Toei Animation'],Original,[],,25 min. per ep.,30,[]
37384,Music,['Tezuka Productions'],['HOTZIPANG'],Other,[],,3 min.,0,[]
16982,TV,['TV Tokyo'],['Manglobe'],Manga,"['Harem', 'Parody']",Shounen,24 min. per ep.,53,"['Crunchyroll', 'HIDIVE']"
247,TV,['add some'],['Yumeta Company'],Visual novel,"['Isekai', 'Mythology', 'Reverse Harem']",,24 min. per ep.,115,['Tubi TV']
6760,Movie,['add some'],['add some'],Unknown,[],,8 min.,0,[]
5167,OVA,['Fairy Dust'],['Radix'],Unknown,[],,30 min. per ep.,2,[]
6484,OVA,['Shueisha'],['add some'],Manga,[],,15 min.,0,[]
1008,OVA,"['Pony Canyon', 'Fuji TV']",['Studio Deen'],Manga,[],Shounen,30 min. per ep.,31,[]
7518,Music,"['NHK', 'dwarf']",['add some'],Original,[],Kids,2 min.,1,[]
35240,TV,"['Bandai Visual', 'Lantis', 'Movic', 'Tokyo MX', 'Q-Tec', 'Hakuhodo DY Music & Pictures', 'Medicos Entertainment']","['Actas', 'Studio 3Hz']",Original,[],,24 min. per ep.,"2,441","['Crunchyroll', 'HIDIVE']"
7270,OVA,"['Sotsu', 'Asatsu DK', 'Mainichi Broadcasting System']",['Sunrise'],Original,"['Mecha', 'Military']",,1 hr. 39 min. per ep.,27,[]
1586,OVA,['add some'],['ufotable'],Visual novel,[],,27 min. per ep.,2,[]
6050,OVA,['add some'],"['Shaft', 'Studio Pastoral']",Manga,[],Shounen,29 min. per ep.,34,[]
38346,ONA,['add some'],['Seven Stone Entertainment'],Other,"['Idols (Female)', 'Music']",,34 min.,0,[]
5053,Movie,"['Movic', 'TOHO']","['AIC', 'Magic Bus', 'Ashi Productions']",Manga,[],,1 hr. 26 min.,16,[]
8669,Music,['NHK'],['add some'],Original,[],Kids,2 min.,0,[]
32869,Movie,['add some'],['Production I.G'],Manga,"['School', 'Team Sports']",Shounen,1 hr. 27 min.,35,['Crunchyroll']
35254,TV,['Yomiuri Telecasting'],['Tatsunoko Production'],Original,"['Historical', 'Mecha']",,23 min. per ep.,1,[]
2454,Movie,['add some'],['Pierrot'],Manga,[],Shounen,1 hr. 9 min.,52,['Crunchyroll']
24439,TV,"['Nihon Ad Systems', 'Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', ""Toy's Factory"", 'Sony PCL']",['Bones'],Manga,"['Super Power', 'Vampire']",Shounen,26 min. per ep.,"7,929","['Crunchyroll', 'Netflix']"
3713,TV,"['Aniplex', 'Tokyo MX']",['Studio Deen'],Original,[],,24 min. per ep.,277,['Crunchyroll']
38445,Music,['add some'],['add some'],Original,[],,4 min.,0,[]
10497,Special,['Frontier Works'],['Studio Deen'],Web manga,"['Historical', 'Parody']",,5 min. per ep.,35,[]
160,TV,"['Victor Entertainment', 'Pioneer LDC', 'Rakuonsha']",['AIC'],Original,"['Isekai', 'Military']",,24 min. per ep.,"1,193",[]
13373,CM,['add some'],['Kyoto Animation'],Original,[],,30 sec.,0,[]
35191,Movie,['add some'],"['Kyoto Animation', 'Animation Do']",Original,[],,1 hr. 37 min.,56,['Netflix']
35694,TV Special,['NHK'],['add some'],Original,[],,5 min.,1,[]
9785,Movie,['add some'],['add some'],Manga,[],Shounen,16 min.,2,[]
33988,TV,"['Aniplex', 'Kodansha', 'Kanetsu Investment', 'Christmas Holly']",['A-1 Pictures'],Manga,"['Mythology', 'School', 'Vampire']",Seinen,23 min. per ep.,"1,495",['Crunchyroll']
7303,TV Special,['add some'],['TMS Entertainment'],Manga,[],Shounen,24 min.,6,[]
39464,ONA,['add some'],['add some'],Game,"['Music', 'Parody', 'Strategy Game']",,2 min.,0,[]
34657,Music,['Universal Music Japan'],['add some'],Original,[],,3 min.,0,[]
40462,TV Special,"['Frontier Works', 'Movic', 'Happy Elements', 'Bandai Namco Arts']",['David Production'],Game,"['Idols (Male)', 'Music', 'School']",,23 min.,5,[]
9502,Music,['NHK'],['add some'],Original,[],Kids,2 min.,1,[]
10375,Movie,['add some'],['add some'],Unknown,[],,10 min.,0,[]
25977,Special,['add some'],['RG Animation Studios'],Original,[],Kids,3 min.,0,[]
32947,TV,"['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Fuji TV', 'Kyoraku Industrial Holdings', 'Kansai Telecasting']",['Zero-G'],Novel,[],,22 min. per ep.,57,[]
30053,Movie,['add some'],['add some'],Original,[],,10 min.,0,[]
34954,Movie,['add some'],['add some'],Original,"['Historical', 'Samurai']",,11 min.,2,[]
31925,Music,['Sony Music Entertainment'],['add some'],Music,[],,5 min.,0,[]
37692,Music,['NHK'],['add some'],Original,[],Kids,2 min.,0,[]
7248,Special,['add some'],['Gainax'],Original,"['Mecha', 'Space']",,2 min. per ep.,1,[]
34782,ONA,['add some'],['Tsukimidou'],Original,[],,4 min. per ep.,1,[]
3820,Music,['add some'],['Studio Kajino'],Original,"['Music', 'Space']",,4 min.,3,[]
5640,Movie,['Soeishinsha'],['APPP'],Unknown,[],,39 min.,3,[]
40360,Music,['add some'],['add some'],Original,[],,2 min.,0,[]
37368,TV,['add some'],"['Bridge', 'Husio Studio', 'Studio Palette']",4-koma manga,[],Seinen,9 min. per ep.,2,[]
21771,Special,['TV Tokyo'],['add some'],Manga,[],Shoujo,1 min. per ep.,11,[]
21009,Special,"['Movic', 'Earth Star Entertainment']",['Arms'],Manga,[],,4 min. per ep.,5,[]
35835,TV,"['Half H.P Studio', 'Kadokawa', 'MediaLink Entertainment Limited']",['Geek Toys'],Original,[],,23 min. per ep.,20,['Crunchyroll']
15159,Special,['add some'],['Nippon Animation'],Unknown,[],,6 min.,2,[]
3561,TV,"['TV Tokyo', 'Nippon Animation', 'Nihon Ad Systems']",['Radix'],Original,[],,24 min. per ep.,20,[]
